Income,MntWines,MntSweetProducts,MntFruits,MntMeatProducts,MntFishProducts,NumWebPurchases,NumStorePurchases,NumDealsPurchases, NumCatalogPurchases
1.056186251847975183e-01,4.249792735982357850e-01,2.386781893170106250e-01,3.056962487470374912e-01,2.140838167442042639e-01,3.399417534159941412e-01,2.094035911737380795e-01,6.928157707550044453e-01,1.247908410391902617e-01,1.896584261181354369e-01
8.290686550139861333e-02,2.194569983906191901e-01,6.248374611819055430e-02,8.088538886818859297e-02,8.345154076268476717e-02,8.382788743510188878e-02,2.168039783270246934e-01,4.740249730229693093e-01,2.550434201736812567e-01,1.034926996850841219e-01
4.899226203724871970e-02,2.251758204956464185e-02,1.744990458015260523e-02,2.262353433835834898e-02,1.127657004830917402e-02,2.381354568854572237e-02,7.145061728395134260e-02,2.373397435897446617e-01,1.265972222222227495e-01,1.685267857142867115e-02
